local;idade;morador;BH_RMBH;uf_pais;cidade;bairro;sem_carnaval;pernoitar;quantas_pernoites;meio_de_hospedagem;transporte_chega_na_cidade;motivo_carnaval;se_nao_qual_foi;mês_viagem_bh;fonte_info_carnaval_bh;conhece_bh;motivo_viagem_1;motivo_viagem_2;motivo_viagem_3;gasto_hospedagem;gasto_atrativos;gasto_alimentacao;gasto_transporte;gasto_fatansias;gasto_compras;gasto_ingressos;gasto_outros;moeda;gasto_total;pessoas_no_gasto;gasto_percapto;dias_carnaval;gasto_medio_diario;gasto_medio_diario_per_capto;info_carnaval;carnaval_antes;opiniao_carnaval;piorou_pq;expectativas_carnaval;avaliacao_geral;banheiros;seguranca;precos;voltar_carnaval;se_nao_pq;alem_dos_blocos_1;alem_dos_blocos_2;alem_dos_blocos_3;alem_dos_blocos_4;alem_dos_blocos_5;patrocinador;genero;escolaridade;estado_civil;renda;transporte_blocos_1;transporte_blocos_2;transporte_blocos_3;apoio_LGBTQIA;faz_parte_LGBTQIA;data
RODA DE TIMBAU;54;Morador;RMBH;Minas Gerais;CONTAGEM;;Sim;;;;;;;;;;;;;;;100;130;0;0;0;0;Real;230.00;3.00;76.67;7.00;32.86;10.95;www.portalbelohorizonte.com.br;Sim;Nem melhorou nem piorou;;Superou;10;8;7;1;Sim;;Precarnaval;Desfiles de Escolas de Samba (terca  Av. Afonso Pena);;;;Prefeitura;Feminino;Ensino Superior completo;Divorciado(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;Aplicativos (Uber/99/InDrive);;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;30;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Castelo;Sim;;;;;;;;;;;;;;;150;0;0;150;0;0;Real;300.00;1.00;300.00;5.00;60.00;60;Blocos de rua;Sim;Melhorou;;Atendeu plenamente;8;8;7;7;Sim;;Precarnaval;;;;;Skol;Masculino;Ensino Superior completo;Divorciado(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;Nao;17/02/2023
RODA DE TIMBAU;24;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Cabana do Pai Tomas;Sim;;;;;;;;;;;;;;;150;45;120;0;0;0;Real;315.00;1.00;315.00;5.00;63.00;63;Instagram;Sim;NR_NS;;NR_NS;8;10;5;2;Sim;;Eventos Privados;;;;;Skol;Masculino;Ensino Medio completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Onibus coletivo;;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;47;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Castelo;Sim;;;;;;;;;;;;;;;100;120;20;120;30;0;Real;390.00;1.00;390.00;3.00;130.00;130;www.portalbelohorizonte.com.br;Sim;NR_NS;;Atendeu em parte;8;5;7;7;Sim;;Eventos Privados;Precarnaval;;;;Populacao;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Divorciado(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);Onibus coletivo;;Sim;Nao;17/02/2023
RODA DE TIMBAU;44;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Carlos Prates;Nao;;;;;;;;;;;;;;;250;150;0;350;0;0;Real;750.00;1.00;750.00;7.00;107.14;107.14;Instagram;Sim;Melhorou;;Superou;10;9;10;7;Sim;;Desfiles de Blocos Caricatos (segundaAv. Afonso Pena);;;;;Nao sabe;Masculino;Ensino Medio completo;Divorciado(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;31;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Barro Preto;Sim;;;;;;;;;;;;;;;0;100;0;300;0;0;Real;400.00;1.00;400.00;4.00;100.00;100;Instagram;Sim;NR_NS;;NR_NS;7;8;8;5;Nao;Motivos Pessoais;Precarnaval;;;;;Nao sabe;Masculino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;Aplicativos (Uber/99/InDrive);;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;31;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Dona Clara;Nao;;;;;;;;;;;;;;;0;0;0;0;0;0;Real;0.00;1.00;0.00;5.00;0.00;0;www.portalbelohorizonte.com.br;Sim;NR_NS;;NR_NS;8;999999;9;5;Sim;;Nenhuma;;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Veiculo Proprio;;;Sim;Nao;17/02/2023
RODA DE TIMBAU;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Efigenia;Sim;;;;;;;;;;;;;;;100;150;100;0;45;0;Real;395.00;1.00;395.00;5.00;79.00;79;Instagram;Sim;Melhorou;;Superou;10;6;6;6;Sim;;Precarnaval;Eventos Privados;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;46;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Gutierrez;Sim;;;;;;;;;;;;;;;255;80;0;160;0;0;Real;495.00;1.00;495.00;5.00;99.00;99;Instagram;Sim;NR_NS;;NR_NS;6;6;8;7;Sim;;Precarnaval;;;;;Prefeitura;Masculino;Ensino Tecnico completo;Solteiro(a);Ate 1 SM (R$ 1.30200);A pe;Onibus coletivo;Aplicativos (Uber/99/InDrive);Nao;Nao;17/02/2023
RODA DE TIMBAU;25;Morador;RMBH;Minas Gerais;SABARA;;Sim;;;;;;;;;;;;;;;250;45;10;0;0;0;Real;305.00;1.00;305.00;5.00;61.00;61;Amigos/Parentes;Sim;Melhorou;;Superou;10;999999;9;5;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Onibus coletivo;;;Sim;Sim;17/02/2023
