bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
RODA DE TIMBAU,54,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,130,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),230,Médio,3,76.67,Baixo,7,32.86,Baixo,10.95,Baixo,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Superou,10,8,7,1,Sim,Precarnaval,Prefeitura,Feminino,Ensino Superior completo,Divorciado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Nao,2023-02-17
SEXTA NINGUEM SABE,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),300,Médio,1,300,Médio,5,60,Baixo,60,Baixo,Blocos de rua,Melhorou,,Atendeu plenamente,8,8,7,7,Sim,Precarnaval,Skol,Masculino,Ensino Superior completo,Divorciado(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Veiculo Proprio,Sim,Nao,2023-02-17
RODA DE TIMBAU,24,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,45,Baixo,120,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),315,Médio,1,315,Médio,5,63,Baixo,63,Baixo,Instagram,NR_NS,,NR_NS,8,10,5,2,Sim,Eventos Privados,Skol,Masculino,Ensino Medio completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Onibus coletivo,Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,47,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,120,Médio,20,Baixo,120,Médio,30,Baixo,0,Muito baixo (zero),390,Médio,1,390,Médio,3,130,Médio,130,Médio,www.portalbelohorizonte.com.br,NR_NS,,Atendeu em parte,8,5,7,7,Sim,Eventos Privados,Populacao,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Divorciado(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-17
RODA DE TIMBAU,44,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,250,Médio,150,Médio,0,Muito baixo (zero),350,Médio,0,Muito baixo (zero),0,Muito baixo (zero),750,Alto,1,750,Alto,7,107.14,Médio,107.14,Médio,Instagram,Melhorou,,Superou,10,9,10,7,Sim,Desfiles de Blocos Caricatos (segundaAv. Afonso Pena),Nao sabe,Masculino,Ensino Medio completo,Divorciado(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,31,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),400,Médio,1,400,Médio,4,100,Baixo,100,Baixo,Instagram,NR_NS,,NR_NS,7,8,8,5,Nao,Precarnaval,Nao sabe,Masculino,Ensino Superior completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Nao,2023-02-17
SEXTA NINGUEM SABE,31,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),1,0,Muito baixo (zero),5,0,Muito baixo (zero),0,Muito baixo (zero),www.portalbelohorizonte.com.br,NR_NS,,NR_NS,8,0,9,5,Sim,Nenhuma,Ambev,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Veiculo Proprio,Sim,Nao,2023-02-17
RODA DE TIMBAU,34,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,100,Baixo,150,Médio,100,Baixo,0,Muito baixo (zero),45,Baixo,0,Muito baixo (zero),395,Médio,1,395,Médio,5,79,Baixo,79,Baixo,Instagram,Melhorou,,Superou,10,6,6,6,Sim,Precarnaval,Ambev,Feminino,Ensino Superior completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-17
SEXTA NINGUEM SABE,46,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,255,Médio,80,Baixo,0,Muito baixo (zero),160,Médio,0,Muito baixo (zero),0,Muito baixo (zero),495,Médio,1,495,Médio,5,99,Baixo,99,Baixo,Instagram,NR_NS,,NR_NS,6,6,8,7,Sim,Precarnaval,Prefeitura,Masculino,Ensino Tecnico completo,Solteiro(a),Ate 1 SM (R$ 1.30200),Até 1 SM,1302,A pe,Nao,Nao,2023-02-17
RODA DE TIMBAU,25,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,250,Médio,45,Baixo,10,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),305,Médio,1,305,Médio,5,61,Baixo,61,Baixo,Amigos/Parentes,Melhorou,,Superou,10,0,9,5,Sim,Nenhuma,Prefeitura,Feminino,Ensino Superior completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,Onibus coletivo,Sim,Sim,2023-02-17
